Númer Dýrs,Nafn Dýrs,Fræðiheiti,Afkvæmi min,Afkvæmi avg,Afkvæmi max,Líftími min,Líftími avg,Líftími max,Fætur,Þyngd min,Þyngd avg,Þyngd max,Lengd min,Lengd avg,Lengd max,Vísun án by,Url á upplýsingar um mynd,Url á mynd
22,Blásúlan,Sula nebouxii,2,,3,,17,,2,,"1,5",,,"0,8",,"Pete - originally posted to Flickr as Do A Little Dance..., CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=3898063,https://upload.wikimedia.org/wikipedia/commons/b/b4/Blue-footed_Booby_%28Sula_nebouxii%29_-displaying.jpg
23,Skógarbobbinn,Cepaea nemoralis,30,,80,2,,6,0,"0,0004",,"0,0007","0,015",,"0,045","Cepaea_nemoralis_(Mad_Max).jpg: Mad Maxderivative work: Papa Lima Whiskey 2 - This file was derived from: Cepaea nemoralis (Mad Max).jpg:, CC BY-SA 3.0", https://commons.wikimedia.org/w/index.php?curid=18750276,https://upload.wikimedia.org/wikipedia/commons/f/fc/Cepaea_nemoralis_edit.jpg
24,Páfuglinn,Pavo cristatus,4,,6,,15,,2,4,,6,2,,"2,2","Paul Lakin, CC BY 3.0",https://commons.wikimedia.org/w/index.php?curid=55086969,https://upload.wikimedia.org/wikipedia/commons/d/df/Peacock%2C_East_Park%2C_Hull_-_panoramio.jpg
25,Landselurinn,Phoca vitulina,,1,,20,,35,2,100,,150,"1,5",,2,"Marcel Burkhard - Fotografiert von Marcel Burkhard, CC BY-SA 2.0 de",https://commons.wikimedia.org/w/index.php?curid=354703,https://upload.wikimedia.org/wikipedia/commons/7/7d/Seehund.jpg
26,Atlantshafslaxinn,Salmo salar,4.900,,9.600,,11,,0,2,,12,"0,5",,1,"Hans-Petter Fjeld - Own work, CC BY-SA 2.5",https://commons.wikimedia.org/w/index.php?curid=43160800,https://upload.wikimedia.org/wikipedia/commons/9/9c/Salmo_salar-Atlantic_Salmon-Atlanterhavsparken_Norway_%28cropped%29.JPG
27,Pandabjörninn,Ailuropoda melanoleuca,1,,2,,20,,4,100,,115,"1,2",,"1,9","Sheilalau at English Wikipedia - Transferred from en.wikipedia to Commons., Public Domain",https://commons.wikimedia.org/w/index.php?curid=2266960,https://upload.wikimedia.org/wikipedia/commons/c/cd/Panda_Cub_from_Wolong%2C_Sichuan%2C_China.JPG
28,Mjaldurinn,Delphinapterus leucas,,1,,25,,30,2,500,,1500,4,,"5,5","Steve Snodgrass - Flickr:Beluga, CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=10006016,https://upload.wikimedia.org/wikipedia/commons/e/e2/Delphinapterus_leucas_2.jpg
29,Háhyrningurinn,Orcinus orca,,1,,60,,80,2,7.000,,10.000,6,,10,"Minette Layne from Seattle, Washington, USA - Single breaching orca (cropped), CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=3351306,https://upload.wikimedia.org/wikipedia/commons/3/38/Orca_porpoising.jpg
30,Skollakoppurinn,Strongylocentrotus droebachiensis,100.000,,200.000,30,,45,0,"0,04",,"0,1","0,05",,"0,08","Hannah Robinson, Attribution",https://commons.wikimedia.org/w/index.php?curid=4091858,https://upload.wikimedia.org/wikipedia/commons/a/ab/S._droe.JPG
31,Mexíkómandran,Ambystoma mexicanum,100,,300,10,,15,4,"0,05",,"0,3","0,15",,"0,45",LaDameBucolique CC0,https://upload.wikimedia.org/wikipedia/commons/5/5c/Axolotl-2193331_1280.webp,https://upload.wikimedia.org/wikipedia/commons/5/5c/Axolotl-2193331_1280.webp
32,Bláháfurinn,Prionace glauca,25,,100,,20,,0,30,,180,"1,8",,"3,3","Diego Delso, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=108259668,https://upload.wikimedia.org/wikipedia/commons/b/b8/Tibur%C3%B3n_azul_%28Prionace_glauca%29%2C_canal_Fayal-Pico%2C_islas_Azores%2C_Portugal%2C_2020-07-27%2C_DD_28.jpg
33,Sléttusebrinn,Equus quagga,,1,,11,,17,4,220,,322,"2,2",,"2,5","Yathin S Krishnappa - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=31862629,https://upload.wikimedia.org/wikipedia/commons/4/45/Equus_quagga_burchellii_-_Etosha%2C_2014.jpg
34,Hreistureðlan,Ouroborus cataphractus,,1,,,20,,4,"0,07",,"0,1","0,07",,"0,09","Handré Basson - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=40957026,https://upload.wikimedia.org/wikipedia/commons/d/da/Ouroborus_cataphractus01.jpg
35,Hvalháfurinn,Rhincodon typus,,300,,80,,130,0,11.000,,15.000,9,,14,"MarAlliance2018 - Own work, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=71589328,https://upload.wikimedia.org/wikipedia/commons/f/f6/Whale_shark_at_Isla_Mujeres.jpg
36,Káputapírinn,Tapirus indicus,,1,,,30,,4,250,,320,"1,8",,"2,5","Rufus46 - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=35966715,https://upload.wikimedia.org/wikipedia/commons/5/58/Schabrackentapir_Tapirus_indicus_Tiergarten-Nuernberg-1.jpg
37,Grálóan,Pluvialis squatarola,3,,4,,9,,2,"0,19",,"0,28","0,27",,"0,3","© Hans Hillewaert, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=15256156,https://upload.wikimedia.org/wikipedia/commons/a/aa/Pluvialis_squatarola_%28summer_plumage%29.jpg
38,Gíraffinn,Giraffa camelopardalis,,1,,10,,15,4,800,,2.000,4,,"5,7","Doug Belshaw - https://www.flickr.com/photos/dougbelshaw/4468731175/, CC BY 2.0",https://commons.wikimedia.org/w/index.php?curid=80501204,https://upload.wikimedia.org/wikipedia/commons/9/93/Giraffa_camelopardalis_camelopardalis_%28Al_Ain_Zoo%2C_UAE%29%2C_crop_%26_flip.jpg
39,Tígrisdýrið,Penthera tigris,2,,3,,8,,4,90,,300,"2,5",,"3,9","Eric Kilby from USA - RAWKUploaded by Snowmanradio, CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=10945660,https://upload.wikimedia.org/wikipedia/commons/2/2b/Panthera_tigris_-Franklin_Park_Zoo%2C_Massachusetts%2C_USA-8a_%281%29.jpg
40,Svarti nashyrningurinn,Diceros bicornis,,1,,35,,50,4,800,,1.400,3,,"3,8","Yathin S Krishnappa - Own work, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=22859869,https://upload.wikimedia.org/wikipedia/commons/2/22/2012_Black_Rhinoceros_Gemsbokvlakte.jpg
41,Bogkrabbinn,Carcinus maenas,,185.000,,,5,,10,"0,002",,"0,042","0,06",,"0,1","Lycaon - File:Carcinus maenas.jpg, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=32825620,https://upload.wikimedia.org/wikipedia/commons/0/0b/Carcinus_maenas_white_background.jpg
42,Steypireyðurin,Balaenoptera musculus,,1,,80,,90,2,,120.000,,,30,,"NOAA Photo Library - anim1754, Public Domain", https://commons.wikimedia.org/w/index.php?curid=17942391,https://upload.wikimedia.org/wikipedia/commons/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg
43,Breiðnefurinn,Ornithorhynchus anatinus,1,,3,10,,20,4,"0,7",,"2,4","0,4",,"0,5","Klaus - Flickr: Wild Platypus 4, CC BY-SA 2.0",https://commons.wikimedia.org/w/index.php?curid=32551315,https://upload.wikimedia.org/wikipedia/commons/e/e0/Wild_Platypus_4.jpg
44,Hagamúsin,Apodemus sylvaticus,,5,,,1,,4,"0,025",,"0,035",,"0,09",,"© Hans Hillewaert, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=10179776,https://upload.wikimedia.org/wikipedia/commons/2/2c/Apodemus_sylvaticus_%28Sardinia%29.jpg
45,Ísbjörninn,Ursus maritimus,,2,,,18,,4,400,,600,,"2,6",,"Alan Wilson - www.naturespicsonline.com:[1], CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=38456823,https://upload.wikimedia.org/wikipedia/commons/6/66/Polar_Bear_-_Alaska_%28cropped%29.jpg
